SNO,City,Cite,Site_Code,State,Query ID,,,Date,,pm2.5,pm10,AT,BP,SR,RH,WD,RF,NO,Nox,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene
81,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180219,,,19-Feb-2018,,55.23,232.78,,760.49,,,125.62,,10.98,34.53,23.55,4.97,13.78,0.77,77.49,1.3,,0.5,1.09,0.31
82,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180220,,,20-Feb-2018,,53.59,188.88,,757.05,,,155.85,,15.73,58.17,42.45,12.09,4.81,0.91,64.01,1.38,,0.52,1.47,0.26
83,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180221,,,21-Feb-2018,,68.56,231.67,,760.63,,,206.01,,64.69,128.82,64.13,61.61,8.65,1.56,41.03,2.37,,1.11,2.17,0.67
84,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180222,,,22-Feb-2018,,82.9,257.91,,759.8,,,153.14,,62.06,125.47,63.41,70.49,7.51,1.23,40.3,3.71,,2.03,3.82,1.14
85,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180223,,,23-Feb-2018,,67.06,201.83,,759.77,,,195.37,,43.46,103.2,59.75,55.78,7.15,0.68,43.46,1.92,,1.12,2.11,0.59
86,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180224,,,24-Feb-2018,,74.05,213.76,,761.41,,,187.92,,39.82,99.2,59.38,51.4,10.56,1.06,37.16,1.86,,0.8,1.43,0.41
87,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180225,,,25-Feb-2018,,46.74,155.7,,763.7,,,54.84,,9.33,44.62,35.29,29.67,7.02,0.47,57.95,0.88,,0.39,0.49,0.18
88,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180226,,,26-Feb-2018,,45.43,138.81,,763.0,,,215.72,,12.96,57.07,44.45,31.15,7.3,0.76,46.63,0.89,,0.53,0.92,0.31
89,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180227,,,27-Feb-2018,,51.52,158.81,,762.22,,,201.59,,11.79,56.01,44.22,33.29,7.15,0.73,45.37,1.07,,0.59,0.96,0.26
90,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180228,,,28-Feb-2018,,62.82,142.41,,761.99,,,122.32,,14.49,57.31,42.82,33.48,7.27,0.92,55.05,1.81,,0.41,0.43,0.12
91,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180301,,,01-Mar-2018,,62.68,147.91,,760.69,,,127.36,,6.94,35.55,28.6,24.95,9.5,0.43,77.03,1.37,,0.28,0.41,0.16
92,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180302,,,02-Mar-2018,,53.46,123.08,,760.15,,,204.66,,7.15,37.88,30.73,22.97,5.02,0.47,57.72,1.13,,0.32,0.55,0.18
93,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",site_1393,Rajasthan,run2_rajasthan_jaipur_site_1393_20180303,,,03-Mar-2018,,50.08,123.55,,758.63,,,195.88,,9.1,46.49,37.39,23.98,4.47,0.33,52.41,0.67,,0.31,0.54,0.16
